ItemCode_1,ItemName_1,ItemCode_2,ItemName_2,"count(DocNo )"
2950002687,สีน้ำมัน ตราเป็ด #M687 เทา 1/4 (กป),3120800203,"ปากกาไวท์บอร์ด สีน้ำเงิน",1
2502600400,ข้อต่อหนา PVC 1/2 (220/ล.),2505200100,"ข้อต่อเกลียวใน PVC 1/2 (100/ล)",1
2132014231,"สต๊อปวาวล์ 2ทางSJR-011หัวหกเหลี่ยม",2505200100,"ข้อต่อเกลียวใน PVC 1/2 (100/ล)",1
2503102000,"ข้องอบางฟ้า 90 PVC 2 (70/ล.)",2507501004,"ลดกลม PVC 1x1/2 (110)"",1
2505400401,สามทางเกลียวใน ทองเหลือง 1/2 (55/ล.),2507501004,"ลดกลม PVC 1x1/2 (110)"",1
2503104000,"ข้องอบางฟ้า 90 PVC 4 (20/ล.)",2507501004,"ลดกลม PVC 1x1/2 (110)"",1
2503000600,ข้องอหนาฟ้า PVC 3/4 (125/ล.),2507501004,"ลดกลม PVC 1x1/2 (110)"",1
2507500604,ลดกลม PVC 3/4x1/2 (180),2507501004,"ลดกลม PVC 1x1/2 (110)"",1
2503001000,"ข้องอหนาฟ้า PVC 1 (60/ล.)"",2507501004,"ลดกลม PVC 1x1/2 (110)"",1
2505300598,ข้องอเกลียวใน ทองเหลือง 1/2 (100/ล.),2507501004,"ลดกลม PVC 1x1/2 (110)"",1
2507501004,"ลดกลม PVC 1x1/2 (110)"",2508000604,สามทางลด PVC 3/4x1/2 (80),1
2503102000,"ข้องอบางฟ้า 90 PVC 2 (70/ล.)",2508000604,สามทางลด PVC 3/4x1/2 (80),1
2505400401,สามทางเกลียวใน ทองเหลือง 1/2 (55/ล.),2508000604,สามทางลด PVC 3/4x1/2 (80),1
2503104000,"ข้องอบางฟ้า 90 PVC 4 (20/ล.)",2508000604,สามทางลด PVC 3/4x1/2 (80),1
2503000600,ข้องอหนาฟ้า PVC 3/4 (125/ล.),2508000604,สามทางลด PVC 3/4x1/2 (80),1
2507500604,ลดกลม PVC 3/4x1/2 (180),2508000604,สามทางลด PVC 3/4x1/2 (80),1
2503001000,"ข้องอหนาฟ้า PVC 1 (60/ล.)"",2508000604,สามทางลด PVC 3/4x1/2 (80),1
2505300598,ข้องอเกลียวใน ทองเหลือง 1/2 (100/ล.),2508000604,สามทางลด PVC 3/4x1/2 (80),1
2507501006,"ลดกลม PVC 1x3/4 (100)"",2508000604,สามทางลด PVC 3/4x1/2 (80),1
